species,Clements_2023_sci_name,Clements_2023_com_name,guild,n_counted,ccs_b,detectability_score,invertebrate-invertebrate,vertebrates-ectotherms,vertebrates-endotherms,vertebrates-fish,vertebrates-unknown,scavenger-scavenger,plant-fruit,plant-nectar,plant-seed,plant-other,forstrat_watbelowsurf,forstrat_wataroundsurf,forstrat_ground,forstrat_understory,forstrat_midhigh,forstrat_canopy,forstrat_aerial,pelagicspecialist,body_mass
Adelomyia melanogenys,Adelomyia melanogenys,Speckled Hummingbird,landbird,3,9,1,10,0,0,0,0,0,0,90,0,0,0,0,0,70,30,0,0,0,4.93
Amazilia tzacatl,Amazilia tzacatl,Rufous-tailed Hummingbird,landbird,33,9,3,10,0,0,0,0,0,0,90,0,0,0,0,0,30,30,30,10,0,4.79
Amazona mercenarius,Amazona mercenarius,Scaly-naped Parrot,landbird,19,12,2,0,0,0,0,0,0,50,10,30,10,0,0,10,20,40,30,0,0,340
Anabacerthia striaticollis,Anabacerthia striaticollis,Montane Foliage-gleaner,landbird,1,11,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,24.8
Anisognathus somptuosus,Anisognathus somptuosus,Blue-winged Mountain Tanager,landbird,13,10,2,50,0,0,0,0,0,50,0,0,0,0,0,0,30,50,20,0,0,44
Anthracothorax nigricollis,Anthracothorax nigricollis,Black-throated Mango,landbird,14,7,2,20,0,0,0,0,0,0,80,0,0,0,0,0,10,30,40,20,0,7
Arremon brunneinucha,Arremon brunneinucha,Chestnut-capped Brushfinch,landbird,17,14,2,50,0,0,0,0,0,0,0,50,0,0,0,30,60,10,0,0,0,43.97
Atlapetes albinucha,Atlapetes albinucha,White-naped Brushfinch,landbird,50,16,1,50,0,0,0,0,0,10,0,40,0,0,0,80,20,0,0,0,0,33.84
Atlapetes flaviceps,Atlapetes flaviceps,Yellow-headed Brushfinch,landbird,8,16,1,30,0,0,0,0,0,40,0,30,0,0,0,70,30,0,0,0,0,33.66
Atlapetes latinuchus,Atlapetes latinuchus,Yellow-breasted Brushfinch,landbird,1,12,1,50,0,0,0,0,0,0,0,50,0,0,0,80,20,0,0,0,0,23.56
Atlapetes schistaceus,Atlapetes schistaceus,Slaty Brushfinch,landbird,3,11,1,50,0,0,0,0,0,50,0,0,0,0,0,70,30,0,0,0,0,28.04
Aulacorhynchus albivitta,Aulacorhynchus albivitta,Southern Emerald-Toucanet,landbird,22,13,2,30,5,5,0,0,0,60,0,0,0,0,0,0,0,60,40,0,0,170.56
Aulacorhynchus haematopygus,Aulacorhynchus haematopygus,Crimson-rumped Toucanet,landbird,22,12,2,10,0,10,0,0,0,80,0,0,0,0,0,0,33,33,33,0,0,194.39
Basileuterus culicivorus,Basileuterus culicivorus,Golden-crowned Warbler,landbird,11,11,1,60,0,0,0,0,0,20,0,20,0,0,0,0,70,30,0,0,0,10.5
Basileuterus tristriatus,Basileuterus tristriatus,Three-striped Warbler,landbird,38,11,2,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,12.03
Boissonneaua flavescens,Boissonneaua flavescens,Buff-tailed Coronet,landbird,1,11,1,10,0,0,0,0,0,0,90,0,0,0,0,0,0,80,20,0,0,8.2
Bubulcus ibis,Bubulcus ibis,Western Cattle Egret,aquatic,114,9,3,70,10,10,10,0,0,0,0,0,0,0,30,70,0,0,0,0,0,365.95
Buteo platypterus,Buteo platypterus,Broad-winged Hawk,landbird,4,8,1,10,20,70,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,453.65
Campephilus melanoleucos,Campephilus melanoleucos,Crimson-crested Woodpecker,landbird,1,11,2,90,0,0,0,0,0,5,0,5,0,0,0,0,0,100,0,0,0,256
Campephilus pollens,Campephilus pollens,Powerful Woodpecker,landbird,2,13,1,90,0,0,0,0,0,5,0,5,0,0,0,0,30,40,30,0,0,273.28
Camptostoma obsoletum,Camptostoma obsoletum,Southern Beardless-Tyrannulet,landbird,54,6,2,80,0,0,0,0,0,20,0,0,0,0,0,0,0,80,20,0,0,8.1
Cardellina canadensis,Cardellina canadensis,Canada Warbler,landbird,9,12,1,95,0,0,0,0,0,5,0,0,0,0,0,0,60,40,0,0,0,10.04
Catharus aurantiirostris,Catharus aurantiirostris,Orange-billed Nightingale-thrush,landbird,3,12,1,60,0,0,0,0,0,20,0,20,0,0,0,80,20,0,0,0,0,29.8
Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,landbird,10,8,1,61.67,0,0,0,0,0,38.33,0,0,0,0,0,50,50,0,0,0,0,30.3
Cercomacroides parkeri,Cercomacroides parkeri,Parker's Antbird,landbird,5,15,1,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,16.93
Chalcothraupis ruficervix,Chalcothraupis ruficervix,Golden-naped Tanager,landbird,2,11,1,60,0,0,0,0,0,20,10,0,10,0,0,0,0,50,50,0,0,19
Chalybura buffonii,Chalybura buffonii,White-vented Plumeleteer,landbird,1,13,1,10,0,0,0,0,0,0,90,0,0,0,0,0,20,40,20,20,0,6.79
Chamaepetes goudotii,Chamaepetes goudotii,Sickle-winged Guan,landbird,14,12,3,0,0,0,0,0,0,90,0,5,5,0,0,20,0,40,40,0,0,727.67
Chlorophanes spiza,Chlorophanes spiza,Green Honeycreeper,landbird,24,12,2,20,0,0,0,0,0,70,10,0,0,0,0,0,10,30,60,0,0,19
Chlorophonia cyanea,Chlorophonia cyanea,Blue-naped Chlorophonia,landbird,1,10,1,10,0,0,0,0,0,90,0,0,0,0,0,0,0,20,80,0,0,14
Chlorophonia cyanocephala,Chlorophonia cyanocephala,Golden-rumped Euphonia,landbird,12,9,2,10,0,0,0,0,0,90,0,0,0,0,0,0,20,40,40,0,0,14
Chlorornis riefferii,Chlorornis riefferii,Grass-green Tanager,landbird,2,11,1,30,0,0,0,0,0,40,0,30,0,0,0,0,30,70,0,0,0,53
Chlorospingus canigularis,Chlorospingus canigularis,Ashy-throated Chlorospingus,landbird,1,15,1,0,0,0,0,0,0,100,0,0,0,0,0,0,10,30,60,0,0,18
Chlorospingus flavopectus,Chlorospingus flavopectus,Common Chlorospingus,landbird,2,11,1,30,0,0,0,0,0,50,20,0,0,0,0,10,30,30,30,0,0,19.98
Chlorostilbon melanorhynchus,Chlorostilbon mellisugus,Blue-tailed Emerald,landbird,12,9,1,0,0,0,0,0,0,0,100,0,0,0,0,0,40,50,10,0,0,2.61
Chrysuronia grayi,Chrysuronia grayi,Blue-headed Sapphire,landbird,4,13,1,20,0,0,0,0,0,0,80,0,0,0,0,0,20,30,50,0,0,5.6
Cinclus leucocephalus,Cinclus leucocephalus,White-capped Dipper,aquatic,1,11,2,90,0,0,10,0,0,0,0,0,0,40,40,20,0,0,0,0,0,44
Cinnycerthia olivascens,Cinnycerthia olivascens,Sharpe's Wren,landbird,5,12,1,100,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,24.4
Coccyzus melacoryphus,Coccyzus melacoryphus,Dark-billed Cuckoo,landbird,1,10,1,100,0,0,0,0,0,0,0,0,0,0,0,50,30,20,0,0,0,49.71
Coereba flaveola,Coereba flaveola,Bananaquit,landbird,20,8,3,0,0,0,0,0,0,20,70,10,0,0,0,0,80,20,0,0,0,10.01
Colaptes punctigula,Colaptes punctigula,Spot-breasted Woodpecker,landbird,6,9,3,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,61.96
Colaptes rubiginosus,Colaptes rubiginosus,Golden-olive Woodpecker,landbird,52,11,2,90,0,0,0,0,0,10,0,0,0,0,0,0,20,50,30,0,0,55.79
Colibri coruscans,Colibri coruscans,Sparkling Violetear,landbird,7,7,2,20,0,0,0,0,0,0,80,0,0,0,0,20,30,30,20,0,0,6.7
Columbina talpacoti,Columbina talpacoti,Ruddy Ground Dove,landbird,61,5,3,10,0,0,0,0,0,0,0,90,0,0,0,100,0,0,0,0,0,46.04
Contopus cooperi,Contopus cooperi,Olive-sided Flycatcher,landbird,15,12,2,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,32.1
Contopus fumigatus,Contopus fumigatus,Smoke-colored Pewee,landbird,2,9,1,100,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,0,19.9
Contopus sordidulus,Contopus sordidulus,Western Wood-pewee,landbird,6,10,1,100,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,0,0,13.1
Contopus virens,Contopus virens,Eastern Wood-pewee,landbird,18,9,2,100,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,0,0,13.9
Coragyps atratus,Coragyps atratus,Black Vulture,landbird,17,5,3,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,1881.69
Cranioleuca erythrops,Cranioleuca erythrops,Red-faced Spinetail,landbird,6,15,1,90,0,0,0,0,0,0,0,0,10,0,0,0,0,100,0,0,0,16.9
Crotophaga ani,Crotophaga ani,Smooth-billed Ani,landbird,86,8,3,60,20,0,0,0,0,15,0,5,0,0,0,40,30,30,0,0,0,110.09
Crypturellus soui,Crypturellus soui,Little Tinamou,landbird,44,11,2,30,10,0,0,0,0,20,0,40,0,0,0,100,0,0,0,0,0,216.16
Cyanocorax affinis,Cyanocorax affinis,Black-chested Jay,landbird,46,9,2,30,10,0,0,0,0,60,0,0,0,0,0,20,10,40,30,0,0,212
Cyanocorax yncas,Cyanocorax yncas,Green Jay,landbird,30,11,2,60,5,5,0,0,0,15,0,15,0,0,0,0,70,30,0,0,0,78.5
Cyclarhis gujanensis,Cyclarhis gujanensis,Rufous-browed Peppershrike,landbird,5,8,2,60,10,10,0,0,0,20,0,0,0,0,0,0,40,40,20,0,0,28.8
Dacnis hartlaubi,Dacnis hartlaubi,Turquoise Dacnis,landbird,1,15,1,30,0,0,0,0,0,40,30,0,0,0,0,0,0,50,50,0,0,5.08
Daptrius chimachima,Daptrius chimachima,Yellow-headed Caracara,landbird,53,5,3,20,15,5,10,0,40,10,0,0,0,0,0,100,0,0,0,0,0,315.21
Dendrocincla fuliginosa,Dendrocincla fuliginosa,Plain-brown Woodcreeper,landbird,2,12,1,90,0,0,0,10,0,0,0,0,0,0,0,33,33,33,0,0,0,38.7
Dendrocincla tyrannina,Dendrocincla tyrannina,Tyrannine Woodcreeper,landbird,2,12,1,100,0,0,0,0,0,0,0,0,0,0,0,0,10,90,0,0,0,54.9
Dendrocolaptes picumnus,Dendrocolaptes picumnus,Black-banded Woodcreeper,landbird,1,15,1,80,20,0,0,0,0,0,0,0,0,0,0,40,40,20,0,0,0,76.6
Diglossa albilatera,Diglossa albilatera,White-sided Flowerpiercer,landbird,2,10,1,20,0,0,0,0,0,0,80,0,0,0,0,0,50,40,10,0,0,9.84
Diglossa cyanea,Diglossa cyanea,Masked Flowerpiercer,landbird,4,10,1,30,0,0,0,0,0,60,10,0,0,0,0,10,20,40,30,0,0,17.04
Diglossa sittoides,Diglossa sittoides,Rusty Flowerpiercer,landbird,2,9,1,60,0,0,0,0,0,0,40,0,0,0,0,0,60,40,0,0,0,9
Dryobates dignus,Dryobates dignus,Yellow-vented Woodpecker,landbird,1,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,37.6
Dryobates fumigatus,Dryobates fumigatus,Smoky-brown Woodpecker,landbird,13,13,1,90,0,0,0,0,0,10,0,0,0,0,0,0,50,0,50,0,0,36.2
Dryobates kirkii,Dryobates kirkii,Red-rumped Woodpecker,landbird,2,14,1,100,0,0,0,0,0,0,0,0,0,0,0,0,10,50,40,0,0,28.8
Dryocopus lineatus,Dryocopus lineatus,Lineated Woodpecker,landbird,37,9,3,80,0,0,0,0,0,10,0,10,0,0,0,20,20,60,0,0,0,183.19
Dubusia taeniata,Dubusia taeniata,Buff-breasted Mountain Tanager,landbird,2,12,1,30,0,0,0,0,0,40,0,30,0,0,0,0,80,20,0,0,0,37
Dysithamnus mentalis,Dysithamnus mentalis,Plain Antvireo,landbird,15,12,2,90,0,0,0,0,0,10,0,0,0,0,0,0,40,40,20,0,0,14.87
Elaenia flavogaster,Elaenia flavogaster,Yellow-bellied Elaenia,landbird,60,7,3,60,0,0,0,0,0,40,0,0,0,0,0,0,20,40,30,10,0,24.8
Elaenia frantzii,Elaenia frantzii,Mountain Elaenia,landbird,5,14,1,40,0,0,0,0,0,60,0,0,0,0,0,0,20,80,0,0,0,19.6
Empidonax virescens,Empidonax virescens,Acadian Flycatcher,landbird,4,9,1,100,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,0,12.6
Eubucco bourcierii,Eubucco bourcierii,Red-headed Barbet,landbird,1,15,2,60,0,0,0,0,0,40,0,0,0,0,0,0,20,80,0,0,0,37
Eucometis penicillata,Eucometis penicillata,Gray-headed Tanager,landbird,1,12,1,70,0,0,0,0,0,30,0,0,0,0,0,0,90,10,0,0,0,27
Euphonia laniirostris,Euphonia laniirostris,Thick-billed Euphonia,landbird,10,7,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,70,30,0,0,15
Euphonia xanthogaster,Euphonia xanthogaster,Orange-bellied Euphonia,landbird,9,10,2,20,0,0,0,0,0,80,0,0,0,0,0,0,20,60,20,0,0,13
Falco sparverius,Falco sparverius,American Kestrel,landbird,1,10,3,70,10,20,0,0,0,0,0,0,0,0,0,50,40,10,0,0,0,114.61
Florisuga mellivora,Florisuga mellivora,White-necked Jacobin,landbird,3,10,1,20,0,0,0,0,0,0,80,0,0,0,0,0,10,40,30,20,0,7.4
Formicarius rufipectus,Formicarius rufipectus,Rufous-breasted Antthrush,landbird,1,15,1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,74.4
Forpus conspicillatus,Forpus conspicillatus,Spectacled Parrotlet,landbird,52,15,3,0,0,0,0,0,0,40,0,50,10,0,0,50,50,0,0,0,0,26.4
Geotrygon montana,Geotrygon montana,Ruddy Quail-dove,landbird,3,12,1,10,0,0,0,0,0,60,0,30,0,0,0,100,0,0,0,0,0,133.86
Glyphorynchus spirurus,Glyphorynchus spirurus,Wedge-billed Woodcreeper,landbird,2,12,1,90,0,0,0,0,0,0,0,5,5,0,0,0,0,40,60,0,0,14.6
Habia cristata,Habia cristata,Crested Ant-tanager,landbird,20,16,3,70,0,0,0,0,0,20,0,10,0,0,0,10,30,60,0,0,0,37.32
Heliomaster longirostris,Heliomaster longirostris,Long-billed Starthroat,landbird,1,9,1,10,0,0,0,0,0,0,90,0,0,0,0,0,0,30,60,10,0,6.6
Hemithraupis guira,Hemithraupis guira,Guira Tanager,landbird,3,10,2,60,0,0,0,0,0,40,0,0,0,0,0,0,0,10,90,0,0,12
Hemitriccus granadensis,Hemitriccus granadensis,Black-throated Tody-tyrant,landbird,3,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,7.9
Henicorhina leucophrys,Henicorhina leucophrys,Gray-breasted Wood-wren,landbird,64,14,3,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,16.19
Henicorhina leucosticta,Henicorhina leucosticta,White-breasted Wood-wren,landbird,20,12,3,100,0,0,0,0,0,0,0,0,0,0,0,40,50,10,0,0,0,14.18
Icterus chrysater,Icterus chrysater,Yellow-backed Oriole,landbird,182,13,3,40,0,0,0,0,0,30,30,0,0,0,0,0,40,40,20,0,0,53.4
Icterus nigrogularis,Icterus nigrogularis,Yellow Oriole,landbird,23,8,3,80,0,0,0,0,0,10,10,0,0,0,0,0,0,0,100,0,0,40.2
Legatus leucophaius,Legatus leucophaius,Piratic Flycatcher,landbird,14,8,3,10,0,0,0,0,0,90,0,0,0,0,0,0,0,20,80,0,0,22.2
Leiothlypis peregrina,Leiothlypis peregrina,Tennessee Warbler,landbird,1,8,1,73.33,0,0,0,0,0,13.33,13.33,0,0,0,0,0,30,40,30,0,0,8.9
Lepidocolaptes lacrymiger,Lepidocolaptes lacrymiger,Montane Woodcreeper,landbird,2,9,1,100,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,30.6
Lepidocolaptes souleyetii,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,landbird,1,12,1,90,0,0,0,0,0,10,0,0,0,0,0,0,0,100,0,0,0,25.7
Leptopogon superciliaris,Leptopogon superciliaris,Slaty-capped Flycatcher,landbird,27,12,2,80,0,0,0,0,0,20,0,0,0,0,0,0,0,100,0,0,0,11.7
Leptosittaca branickii,Leptosittaca branickii,Golden-plumed Parakeet,landbird,6,13,1,0,0,0,0,0,0,40,0,60,0,0,0,0,33,33,33,0,0,66.48
Leptotila verreauxi,Leptotila verreauxi,White-tipped Dove,landbird,3,8,2,10,0,0,0,0,0,30,0,60,0,0,0,100,0,0,0,0,0,146.88
Lophotriccus pileatus,Lophotriccus pileatus,Scale-crested Pygmy-tyrant,landbird,2,13,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,7.47
Loriotus luctuosus,Loriotus luctuosus,White-shouldered Tanager,landbird,2,12,1,80,0,0,0,0,0,20,0,0,0,0,0,0,20,50,30,0,0,13
Malacoptila mystacalis,Malacoptila mystacalis,Moustached Puffbird,landbird,6,12,1,90,10,0,0,0,0,0,0,0,0,0,0,30,40,30,0,0,0,49
Melanerpes formicivorus,Melanerpes formicivorus,Acorn Woodpecker,landbird,36,10,2,20,0,0,0,0,0,20,0,56.67,3.33,0,0,0,0,40,60,0,0,79.62
Melanerpes rubricapillus,Melanerpes rubricapillus,Red-crowned Woodpecker,landbird,4,10,3,60,0,0,0,0,0,30,10,0,0,0,0,0,50,50,0,0,0,52.33
Merganetta armata,Merganetta armata,Torrent Duck,aquatic,3,12,2,100,0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,398.82
Mimus gilvus,Mimus gilvus,Tropical Mockingbird,landbird,6,8,3,40,10,10,0,0,0,40,0,0,0,0,0,50,50,0,0,0,0,51.99
Mionectes oleagineus,Mionectes oleagineus,Ochre-bellied Flycatcher,landbird,3,11,1,50,0,0,0,0,0,50,0,0,0,0,0,0,50,50,0,0,0,11.17
Mionectes striaticollis,Mionectes striaticollis,Streak-necked Flycatcher,landbird,16,10,1,50,0,0,0,0,0,50,0,0,0,0,0,0,40,60,0,0,0,15
Mniotilta varia,Mniotilta varia,Black-and-white Warbler,landbird,5,8,2,100,0,0,0,0,0,0,0,0,0,0,0,0,20,60,20,0,0,10.9
Molothrus bonariensis,Molothrus bonariensis,Shiny Cowbird,landbird,20,7,3,66.67,0,0,0,0,0,0,0,33.33,0,0,0,100,0,0,0,0,0,41.49
Molothrus oryzivorus,Molothrus oryzivorus,Giant Cowbird,landbird,11,9,3,30,0,0,0,0,0,30,30,10,0,0,0,40,10,10,40,0,0,181.85
Momotus aequatorialis,Momotus aequatorialis,Andean Motmot,landbird,117,11,3,70,0,10,0,0,0,20,0,0,0,0,0,40,20,40,0,0,0,158
Myadestes ralloides,Myadestes ralloides,Andean Solitaire,landbird,26,10,3,50,0,0,0,0,0,50,0,0,0,0,0,0,0,70,30,0,0,29.1
Myiarchus apicalis,Myiarchus apicalis,Apical Flycatcher,landbird,2,11,2,50,0,0,0,0,0,50,0,0,0,0,0,0,30,70,0,0,0,29.2
